Count_bfp_objects,Count_gfp_objects,FileName_bfp,FileName_gfp,ImageNumber
11894.0,51.0,"C2_-1_3_1_Stitched[DAPI 377,447]_013.tif","C2_-1_2_1_Stitched[GFP 469,525]_013.tif",169
8051.0,18.0,"C3_-1_3_1_Stitched[DAPI 377,447]_001.tif","C3_-1_2_1_Stitched[GFP 469,525]_001.tif",170
8795.0,20.0,"C3_-1_3_1_Stitched[DAPI 377,447]_002.tif","C3_-1_2_1_Stitched[GFP 469,525]_002.tif",171
9215.0,23.0,"C3_-1_3_1_Stitched[DAPI 377,447]_003.tif","C3_-1_2_1_Stitched[GFP 469,525]_003.tif",172
9781.0,30.0,"C3_-1_3_1_Stitched[DAPI 377,447]_004.tif","C3_-1_2_1_Stitched[GFP 469,525]_004.tif",173
10294.0,23.0,"C3_-1_3_1_Stitched[DAPI 377,447]_005.tif","C3_-1_2_1_Stitched[GFP 469,525]_005.tif",174
10498.0,25.0,"C3_-1_3_1_Stitched[DAPI 377,447]_006.tif","C3_-1_2_1_Stitched[GFP 469,525]_006.tif",175
11213.0,18.0,"C3_-1_3_1_Stitched[DAPI 377,447]_007.tif","C3_-1_2_1_Stitched[GFP 469,525]_007.tif",176
11293.0,25.0,"C3_-1_3_1_Stitched[DAPI 377,447]_008.tif","C3_-1_2_1_Stitched[GFP 469,525]_008.tif",177
11513.0,23.0,"C3_-1_3_1_Stitched[DAPI 377,447]_009.tif","C3_-1_2_1_Stitched[GFP 469,525]_009.tif",178
11890.0,20.0,"C3_-1_3_1_Stitched[DAPI 377,447]_010.tif","C3_-1_2_1_Stitched[GFP 469,525]_010.tif",179
12275.0,24.0,"C3_-1_3_1_Stitched[DAPI 377,447]_011.tif","C3_-1_2_1_Stitched[GFP 469,525]_011.tif",180
12217.0,31.0,"C3_-1_3_1_Stitched[DAPI 377,447]_012.tif","C3_-1_2_1_Stitched[GFP 469,525]_012.tif",181
12265.0,22.0,"C3_-1_3_1_Stitched[DAPI 377,447]_013.tif","C3_-1_2_1_Stitched[GFP 469,525]_013.tif",182
7503.0,26.0,"C4_-1_3_1_Stitched[DAPI 377,447]_001.tif","C4_-1_2_1_Stitched[GFP 469,525]_001.tif",183
8221.0,25.0,"C4_-1_3_1_Stitched[DAPI 377,447]_002.tif","C4_-1_2_1_Stitched[GFP 469,525]_002.tif",184
8816.0,31.0,"C4_-1_3_1_Stitched[DAPI 377,447]_003.tif","C4_-1_2_1_Stitched[GFP 469,525]_003.tif",185
9182.0,37.0,"C4_-1_3_1_Stitched[DAPI 377,447]_004.tif","C4_-1_2_1_Stitched[GFP 469,525]_004.tif",186
9714.0,32.0,"C4_-1_3_1_Stitched[DAPI 377,447]_005.tif","C4_-1_2_1_Stitched[GFP 469,525]_005.tif",187
10137.0,23.0,"C4_-1_3_1_Stitched[DAPI 377,447]_006.tif","C4_-1_2_1_Stitched[GFP 469,525]_006.tif",188
10577.0,30.0,"C4_-1_3_1_Stitched[DAPI 377,447]_007.tif","C4_-1_2_1_Stitched[GFP 469,525]_007.tif",189
10948.0,28.0,"C4_-1_3_1_Stitched[DAPI 377,447]_008.tif","C4_-1_2_1_Stitched[GFP 469,525]_008.tif",190
11228.0,25.0,"C4_-1_3_1_Stitched[DAPI 377,447]_009.tif","C4_-1_2_1_Stitched[GFP 469,525]_009.tif",191
11513.0,31.0,"C4_-1_3_1_Stitched[DAPI 377,447]_010.tif","C4_-1_2_1_Stitched[GFP 469,525]_010.tif",192
11784.0,29.0,"C4_-1_3_1_Stitched[DAPI 377,447]_011.tif","C4_-1_2_1_Stitched[GFP 469,525]_011.tif",193
